heure;habitat_collectif;restauration;commerces;bureaux
2178;467.78256;5.52789264705882;2.68497642857143;0
2179;267.30432;16.5836779411765;2.14798114285714;0
2180;133.65216;16.5836779411765;1.07399057142857;0
2181;0;44.2231411764706;0;0
2182;0;38.6952485294118;0;0
2183;0;22.1115705882353;0;0
2184;0;0;0;0
2185;0;0;0;0
2186;0;0;0;0
2187;0;0;0;0
2188;0;0;0;0
2189;0;0;0;0
2190;133.65216;0;0;1.82578397142857
2191;467.78256;0;0;1.82578397142857
2192;133.65216;0;0.536995285714286;5.47735191428571
2193;0;5.52789264705882;1.07399057142857;9.12891985714286
2194;0;5.52789264705882;1.07399057142857;7.30313588571428
2195;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2196;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2197;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2198;0;27.6394632352941;1.61098585714286;7.30313588571428
2199;0;5.52789264705882;1.07399057142857;5.47735191428571
2200;0;5.52789264705882;1.07399057142857;3.65156794285714
2201;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2202;467.78256;5.52789264705882;2.68497642857143;0
2203;267.30432;16.5836779411765;2.14798114285714;0
2204;133.65216;16.5836779411765;1.07399057142857;0
2205;0;44.2231411764706;0;0
2206;0;38.6952485294118;0;0
2207;0;22.1115705882353;0;0
2208;0;0;0;0
2209;0;0;0;0
2210;0;0;0;0
2211;0;0;0;0
2212;0;0;0;0
2213;0;0;0;0
2214;133.65216;0;0;1.82578397142857
2215;467.78256;0;0;1.82578397142857
2216;133.65216;0;0.536995285714286;5.47735191428571
2217;0;5.52789264705882;1.07399057142857;9.12891985714286
2218;0;5.52789264705882;1.07399057142857;7.30313588571428
2219;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2220;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2221;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2222;0;27.6394632352941;1.61098585714286;7.30313588571428
2223;0;5.52789264705882;1.07399057142857;5.47735191428571
2224;0;5.52789264705882;1.07399057142857;3.65156794285714
2225;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2226;467.78256;5.52789264705882;2.68497642857143;0
2227;267.30432;16.5836779411765;2.14798114285714;0
2228;133.65216;16.5836779411765;1.07399057142857;0
2229;0;44.2231411764706;0;0
2230;0;38.6952485294118;0;0
2231;0;22.1115705882353;0;0
2232;0;0;0;0
2233;0;0;0;0
2234;0;0;0;0
2235;0;0;0;0
2236;0;0;0;0
2237;0;0;0;0
2238;133.65216;0;0;1.82578397142857
2239;467.78256;0;0;1.82578397142857
2240;133.65216;0;0.536995285714286;5.47735191428571
2241;0;5.52789264705882;1.07399057142857;9.12891985714286
2242;0;5.52789264705882;1.07399057142857;7.30313588571428
2243;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2244;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2245;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2246;0;27.6394632352941;1.61098585714286;7.30313588571428
2247;0;5.52789264705882;1.07399057142857;5.47735191428571
2248;0;5.52789264705882;1.07399057142857;3.65156794285714
2249;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2250;467.78256;5.52789264705882;2.68497642857143;0
2251;267.30432;16.5836779411765;2.14798114285714;0
2252;133.65216;16.5836779411765;1.07399057142857;0
2253;0;44.2231411764706;0;0
2254;0;38.6952485294118;0;0
2255;0;22.1115705882353;0;0
2256;0;0;0;0
2257;0;0;0;0
2258;0;0;0;0
2259;0;0;0;0
2260;0;0;0;0
2261;0;0;0;0
2262;133.65216;0;0;1.82578397142857
2263;467.78256;0;0;1.82578397142857
2264;133.65216;0;0.536995285714286;5.47735191428571
2265;0;5.52789264705882;1.07399057142857;9.12891985714286
2266;0;5.52789264705882;1.07399057142857;7.30313588571428
2267;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2268;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2269;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2270;0;27.6394632352941;1.61098585714286;7.30313588571428
2271;0;5.52789264705882;1.07399057142857;5.47735191428571
2272;0;5.52789264705882;1.07399057142857;3.65156794285714
2273;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2274;467.78256;5.52789264705882;2.68497642857143;0
2275;267.30432;16.5836779411765;2.14798114285714;0
2276;133.65216;16.5836779411765;1.07399057142857;0
2277;0;44.2231411764706;0;0
2278;0;38.6952485294118;0;0
2279;0;22.1115705882353;0;0
2280;0;0;0;0
2281;0;0;0;0
2282;0;0;0;0
2283;0;0;0;0
2284;0;0;0;0
2285;0;0;0;0
2286;133.65216;0;0;1.82578397142857
2287;467.78256;0;0;1.82578397142857
2288;133.65216;0;0.536995285714286;5.47735191428571
2289;0;5.52789264705882;1.07399057142857;9.12891985714286
2290;0;5.52789264705882;1.07399057142857;7.30313588571428
2291;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2292;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2293;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2294;0;27.6394632352941;1.61098585714286;7.30313588571428
2295;0;5.52789264705882;1.07399057142857;5.47735191428571
2296;0;5.52789264705882;1.07399057142857;3.65156794285714
2297;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2298;467.78256;5.52789264705882;2.68497642857143;0
2299;267.30432;16.5836779411765;2.14798114285714;0
2300;133.65216;16.5836779411765;1.07399057142857;0
2301;0;44.2231411764706;0;0
2302;0;38.6952485294118;0;0
2303;0;22.1115705882353;0;0
2304;0;0;0;0
2305;0;0;0;0
2306;0;0;0;0
2307;0;0;0;0
2308;0;0;0;0
2309;0;0;0;0
2310;133.65216;0;0;1.82578397142857
2311;467.78256;0;0;1.82578397142857
2312;133.65216;0;0.536995285714286;5.47735191428571
2313;0;5.52789264705882;1.07399057142857;9.12891985714286
2314;0;5.52789264705882;1.07399057142857;7.30313588571428
2315;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2316;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2317;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2318;0;27.6394632352941;1.61098585714286;7.30313588571428
2319;0;5.52789264705882;1.07399057142857;5.47735191428571
2320;0;5.52789264705882;1.07399057142857;3.65156794285714
2321;200.47824;5.52789264705882;2.14798114285714;1.82578397142857
2322;467.78256;5.52789264705882;2.68497642857143;0
2323;267.30432;16.5836779411765;2.14798114285714;0
2324;133.65216;16.5836779411765;1.07399057142857;0
2325;0;44.2231411764706;0;0
2326;0;38.6952485294118;0;0
2327;0;22.1115705882353;0;0
2328;0;0;0;0
2329;0;0;0;0
2330;0;0;0;0
2331;0;0;0;0
2332;0;0;0;0
2333;0;0;0;0
2334;133.65216;0;0;1.82578397142857
2335;467.78256;0;0;1.82578397142857
2336;133.65216;0;0.536995285714286;5.47735191428571
2337;0;5.52789264705882;1.07399057142857;9.12891985714286
2338;0;5.52789264705882;1.07399057142857;7.30313588571428
2339;133.65216;11.0557852941176;1.07399057142857;3.65156794285714
2340;267.30432;27.6394632352941;1.61098585714286;1.82578397142857
2341;133.65216;44.2231411764706;1.61098585714286;3.65156794285714
2342;0;27.6394632352941;1.61098585714286;7.30313588571428
